Name	Prefix	Body
Insert table	table	Insert a table with 2 rows and 3 columns. You can tab through each cell to edit the text.
Insert 2x1 table	2x1table	Insert a table with 2 rows and 1 column. You can tab through each cell to edit the text.
Insert 3x1 table	3x1table	Insert a table with 3 rows and 1 column. You can tab through each cell to edit the text.
Insert 4x1 table	4x1table	Insert a table with 4 rows and 1 column. You can tab through each cell to edit the text.
Insert 5x1 table	5x1table	Insert a table with 5 rows and 1 column. You can tab through each cell to edit the text.
Insert 2x2 table	2x2table	Insert a table with 2 rows and 2 columns. You can tab through each cell to edit the text.
Insert 3x2 table	3x2table	Insert a table with 3 rows and 2 columns. You can tab through each cell to edit the text.
Insert 4x2 table	4x2table	Insert a table with 4 rows and 2 columns. You can tab through each cell to edit the text.
Insert 5x2 table	5x2table	Insert a table with 5 rows and 2 columns. You can tab through each cell to edit the text.
Insert 2x3 table	2x3table	Insert a table with 2 rows and 3 columns. You can tab through each cell to edit the text.
Insert 3x3 table	3x3table	Insert a table with 3 rows and 3 columns. You can tab through each cell to edit the text.
Insert 4x4 table	4x3table	Insert a table with 4 rows and 3 columns. You can tab through each cell to edit the text.
Insert 5x5 table	5x3table	Insert a table with 5 rows and 3 columns. You can tab through each cell to edit the text.
Insert task list	task list	Insert  a task list with 2 tasks. You can tab through item to set the status (complete/incomplete) and edit the text.
